"What is a computer network?","A single computer","Two or more computing devices connected to exchange info and share resources","A device that provides services","A connection point in a network","Two or more computing devices connected to exchange info and share resources"
"Which of the following is NOT a connection medium mentioned for networks?","Copper wire","Radio waves","Infrared light beams","Water pipes","Water pipes"
"What is a primary objective of networks?","To provide sharing of resources","To make computers slower","To decrease reliability","To centralize all processing on one machine","To provide sharing of resources"
"How do networks provide high reliability?","By using only one processor","By having alternative sources of supply","By slowing down traffic","By using only one route","By having alternative sources of supply"
"What is 'distributed processing'?","All processing is on one large computer","Taking processing out of a single computer and distributing it","Centralized control for a distributed system","Sharing of information (databases)","Taking processing out of a single computer and distributing it"
"What is the term for 'doing business with customers over the network', such as online shopping?","e-Banking","Videoconferencing","E-commerce","Telemedicine","E-commerce"
"What network use involves 'remote patient monitoring'?","E-commerce","Telemedicine","e-Banking","Digital library","Telemedicine"
"What does 'LAN' stand for?","Local Area Network","Large Area Network","Long Area Network","Legal Area Network","Local Area Network"
"What is the typical geographic span of a LAN?","A limited area like a home, school, or office","A city","A country or continent","The entire planet","A limited area like a home, school, or office"
"What is the approximate maximum radius for a LAN?","5 km","50 km","1 km","100,000 km","1 km"
"Which devices are used for a LAN?","Routers, switches, hubs, repeaters, bridges","Communication servers and modems","Only satellites","Only computers","Routers, switches, hubs, repeaters, bridges"
"What does 'WAN' stand for?","Wide Area Network","Web Area Network","Wired Area Network","Wireless Area Network","Wide Area Network"
"What is the approximate maximum radius for a WAN?","1 km","50 km","100,000 km","10 meters","100,000 km"
"Which devices are commonly used in WANs?","Hubs and repeaters","Routers, communication servers, and modems","Only switches","Only bridges","Routers, communication servers, and modems"
"What does 'MAN' stand for?","Metropolitan Area Network","Massive Area Network","Main Area Network","Managed Area Network","Metropolitan Area Network"
"What is the typical geographic span of a MAN?","A single building","A city or a group of buildings","A country","The world","A city or a group of buildings"
"What is the span range of a MAN?","1 km","5 to 50 km","100,000 km","10 meters","5 to 50 km"
"According to the table, a network spanning 10 km in a city is a...?","LAN","MAN","WAN","PAN","MAN"
"According to the table, a network spanning 1000 km on a campus is a...?","LAN","MAN","WAN","PAN","LAN"
"What is another name for a 'network configuration'?","Network topology","Network type","Network device","Network objective","Network topology"
"Which of the following is NOT a major goal for a network designer?","Provide maximum reliability","Route traffic through the least cost path","Give users the best response time","Use the most expensive cables possible","Use the most expensive cables possible"
"In which topology does each device attach directly to a common cable called a 'backbone'?","Bus","Star","Ring","Mesh","Bus"
"What is the function of a 'T-Terminator' in a bus topology?","To connect new devices","To absorb electrical signals and prevent reflections","To speed up transmission","To act as a central hub","To absorb electrical signals and prevent reflections"
"What is a major disadvantage of the bus topology?","If the bus goes down, the whole network shuts down","It is too expensive","It is too secure","It has no data collisions","If the bus goes down, the whole network shuts down"
"Why does a bus topology have 'Low Performance'?","Data can move in two directions","Only one device should send at a time to prevent collisions","The T-Terminators slow it down","It is too easy to install","Only one device should send at a time to prevent collisions"
"In which topology are devices connected in a 'circular pattern'?","Bus","Star","Ring","Mesh","Ring"
"What is an advantage of a ring topology?","No data collisions","The whole network fails if one node fails","Slower transmission","Low security","No data collisions"
"What is a disadvantage of a ring topology?","No data collisions","Easy to install","The whole network fails if a single node fails","It's very fast","The whole network fails if a single node fails"
"In which topology does each device have a 'dedicated set of wires connecting it to a central network hub'?","Bus","Star","Ring","Mesh","Star"
"What is a major advantage of a star topology?","It is the cheapest","The failure of one connection will not usually affect the others","If the central point fails, the network continues","It is unstructured","The failure of one connection will not usually affect the others"
"What is the main disadvantage of a star topology?","It is hard to troubleshoot","The central point failure will lead to total network failure","It is not scalable","It has low security","The central point failure will lead to total network failure"
"In which topology is 'each node... directly connected to every other node'?","Full mesh","Partial mesh","Bus","Star","Full mesh"
"In which topology are nodes 'only connected to the nodes they interact with most'?","Full mesh","Partial mesh","Bus","Star","Partial mesh"
"What is a 'hybrid topology'?","A network with no connections","A network that combines multiple topologies","A network with only one device","A bus topology","A network that combines multiple topologies"
"Which topology is described as 'Difficult to install' and 'Expensive'?","Bus","Star","Ring","Mesh","Mesh"
"What does 'Casting' in computer networks mean?","Transmitting data from source to recipient(s)","Connecting cables","Configuring a router","Fixing a network error","Transmitting data from source to recipient(s)"
"Which type of casting 'sends data to a single recipient'?","Unicast","Broadcast","Multicast","Anycast","Unicast"
"Which type of casting 'sends data to all devices in a network'?","Unicast","Broadcast","Multicast","Anycast","Broadcast"
"Which type of casting 'sends data to a specific group of subscribed devices'?","Unicast","Broadcast","Multicast","Anycast","Multicast"
"What is 'Limited Broadcast'?","Data reaches all hosts in the *same* network","Data reaches all hosts in *another* network","Data reaches one specific host","Data reaches a specific group","Data reaches all hosts in the *same* network"
"What is 'Directed Broadcast'?","Data reaches all hosts in the *same* network","A host in one network sends a message to all hosts in *another* network","Data reaches one specific host","Data reaches a specific group","A host in one network sends a message to all hosts in *another* network"
"What is 'Simplex' transmission mode?","One-way communication","Two-way, but not at the same time","Two-way, simultaneously","One-to-many communication","One-way communication"
"A television or radio broadcast is an example of which transmission mode?","Simplex","Half-Duplex","Full-Duplex","Multicast","Simplex"
"What is 'Half-Duplex' transmission mode?","One-way communication","Two-way communication, but only one party can transmit at a time","Two-way communication simultaneously","One-to-all communication","Two-way communication, but only one party can transmit at a time"
"A 'walkie-talkie' is an example of which transmission mode?","Simplex","Half-Duplex","Full-Duplex","Broadcast","Half-Duplex"
"What is 'Full-Duplex' transmission mode?","One-way communication","Two-way, but not at the same time","Two-way communication, where parties can send and receive simultaneously","One-to-many communication","Two-way communication, where parties can send and receive simultaneously"
"A 'mobile phone call' or 'video conferencing' is an example of which transmission mode?","Simplex","Half-Duplex","Full-Duplex","Unicast","Full-Duplex"
"What is a 'network node'?","A type of cable","A connection point... that can send, receive, store, process, or forward information","The physical shape of a network","A one-way communication","A connection point... that can send, receive, store, process, or forward information"
"Which of these is an example of a network node?","Router","Switch","Server","All of the above","All of the above"
"What is a 'Client' in a network?","A device that provides services","A device that requests and accesses a service","A device that filters traffic","The physical cable","A device that requests and accesses a service"
"What is a 'Server' in a network?","A device that provides functions or services for clients","A device that only requests services","The end-user's computer","A type of network topology","A device that provides functions or services for clients"
"Can the same device be both a client and a server?","Yes, in different situations","No, a device is always one or the other","Only if it is a router","Only if it is a firewall","Yes, in different situations"
"What is the purpose of a 'Switch'?","To connect devices *within* the same LAN","To connect *different* LANs over the internet","To filter traffic based on security rules","To absorb signals at the end of a cable","To connect devices *within* the same LAN"
"What is a limitation of a switch?","It cannot connect LAN devices","It cannot directly be connected to the internet or connect different LANs","It has too few ports","It is too slow","It cannot directly be connected to the internet or connect different LANs"
"What is the purpose of a 'Router'?","To connect hosts within the *same* LAN","To provide connectivity *between* LANs and send data over the internet","To filter traffic based on security rules","To connect only two computers","To provide connectivity *between* LANs and send data over the internet"
"Compared to switches, routers typically have...?","More network interfaces","Fewer network interfaces","The same number of interfaces","No interfaces","Fewer network interfaces"
"What is the function of a 'Firewall'?","To connect different LANs","To connect devices in the same LAN","To monitor and control network traffic based on configured rules","To convert signals from electrical to light","To monitor and control network traffic based on configured rules"
"What is a 'Host-based firewall'?","A hardware device that filters traffic","A software application on a host machine that filters its traffic","A type of network cable","A type of router","A software application on a host machine that filters its traffic"
"What are the three main types of Ethernet Cables listed in the diagram?","Twisted Pair, Coaxial, Fiber Optic","UTP, STP, Single mode","LAN, MAN, WAN","Bus, Star, Ring","Twisted Pair, Coaxial, Fiber Optic"
"What are the two types of Twisted Pair cable?","Single mode and Multi Mode","UTP and STP","Coaxial and Fiber","Straight-Through and Crossover","UTP and STP"
"What are the two types of Fiber Optic cable?","Single mode and Multi Mode","UTP and STP","Coaxial and Twisted Pair","Straight-Through and Crossover","Single mode and Multi Mode"
"What are 'Twisted Pair' cables made of?","Pairs of insulated copper wires twisted together","Strands of glass","A single center conductor","Plastic tubes","Pairs of insulated copper wires twisted together"
"What is an advantage of twisted pair cables?","They are super fast like light","They are cheaper and flexible","They are immune to all noise","They have the highest bandwidth","They are cheaper and flexible"
"What is a 'Coaxial Cable'?","Strands of glass","Insulated copper cable... to carry high frequency signals","Pairs of copper wires twisted","A type of network topology","Insulated copper cable... to carry high frequency signals"
"Which of these is NOT a component of a coaxial cable?","center conductor","dielectric","outer jacket","Twisted pairs","Twisted pairs"
"What is an advantage of coaxial cable over twisted pair?","It is cheaper","It is more flexible","It can transmit data much faster and is less prone to noise","It uses light","It can transmit data much faster and is less prone to noise"
"What is a 'Fiber Optic Cable' made of?","Insulated copper","Twisted pairs of wires","Hair-like strands of glass","A single backbone","Hair-like strands of glass"
"What does the 'Transmitter' in a fiber optic system do?","Transforms electrical signals into light waves","Transforms light waves into electrical signals","Stores the data","Filters the data","Transforms electrical signals into light waves"
"What does the 'Receiver' in a fiber optic system do?","Transforms electrical signals into light waves","Receives light signals and converts them into electrical signals","Manages the network topology","Connects to the internet","Receives light signals and converts them into electrical signals"
"What is a major advantage of fiber optic cable?","It is the cheapest option","It is very flexible and light","Provides high bandwidth over long distance and super fast transmission","It is easy to install","Provides high bandwidth over long distance and super fast transmission"
"What type of connector is used with UTP Ethernet cables?","Coaxial connector","RJ-11","RJ-45","T-Terminator","RJ-45"
"What does 'RJ' stand for?","Registered Jack","Router Jack","Reliable Jack","Ring Jack","Registered Jack"
"What organization released the TIA/EIA 568 standard?","ISO (International Organization for Standardization)","TIA (Telecommunications Industry Association) and EIA (Electronic Industries Association)","DARPA","IEEE","TIA (Telecommunications Industry Association) and EIA (Electronic Industries Association)"
"What is the primary difference between T568A and T568B wiring standards?","T568A is for routers, T568B is for switches","T568B swaps the positions of the orange and green pairs","T568A uses 4 wires, T568B uses 8","T568B is for fiber, T568A is for copper","T568B swaps the positions of the orange and green pairs"
"In the T568B wiring standard, what color is Pin 1?","White and Green","Green","White and Orange","Blue","White and Orange"
"In the T568B wiring standard, what color is Pin 2?","White and Green","Orange","White and Orange","Green","Orange"
"In the T568B wiring standard, what color is Pin 3?","White and Green","Orange","White and Orange","Blue","White and Green"
"In the T568B wiring standard, what color is Pin 6?","White and Green","Green","White and Orange","Orange","Green"
"Why are the wires in a UTP cable twisted?","To make them shorter","To help protect against electromagnetic interference (EMI)","To fit them in the connector","To make them look nice","To help protect against electromagnetic interference (EMI)"
"How many wires are in a twisted Ethernet cable?","2","4","6","8","8"
"What does 'TX' stand for?","Transmit","Test","Twist","Terminate","Transmit"
"What does 'RX' stand for?","Route","Reroute","Receive","Register","Receive"
"For 10BASE-T and 100BASE-TX Ethernet, which pins are used for TX (Transmit)?","1 and 2","3 and 6","4 and 5","7 and 8","1 and 2"
"For 10BASE-T and 100BASE-TX Ethernet, which pins are used for RX (Receive)?","1 and 2","3 and 6","4 and 5","7 and 8","3 and 6"
"What is a 'Straight-Through' cable used for?","Connecting devices at *different* layers (e.g., computer to switch)","Connecting devices at the *same* layer (e.g., two computers)","Connecting to a wall outlet","Connecting a fiber optic cable","Connecting devices at *different* layers (e.g., computer to switch)"
"How is a 'Straight-Through' cable wired?","With the same order at both ends (e.g., T568B on both)","With T568A on one end and T568B on the other","With only 4 wires","With the wires crossed","With the same order at both ends (e.g., T568B on both)"
"What is a 'Crossover' cable used for?","Connecting devices at *different* layers (e.g., computer to switch)","Connecting devices at the *same* layer (e.g., two computers or two switches)","Connecting to a wall outlet","Connecting a fiber optic cable","Connecting devices at the *same* layer (e.g., two computers or two switches)"
"How is a 'Crossover' cable wired?","With the same order at both ends","With T568A on one end and T568B on the other","With only 4 wires","With a T-Terminator","With T568A on one end and T568B on the other"
"In a crossover cable, Pin 1 (TX+) at one end connects to which pin at the other end?","Pin 1 (TX+)","Pin 2 (TX-)","Pin 3 (RX+)","Pin 6 (RX-)","Pin 3 (RX+)"
"In a crossover cable, Pin 2 (TX-) at one end connects to which pin at the other end?","Pin 1 (TX+)","Pin 2 (TX-)","Pin 3 (RX+)","Pin 6 (RX-)","Pin 6 (RX-)"
"What is 'Auto-MDIX'?","A feature that automatically detects and adjusts for cable type (straight-through or crossover)","A type of network cable","A wiring standard","A type of router","A feature that automatically detects and adjusts for cable type (straight-through or crossover)"
"What is the main benefit of Auto-MDIX?","It makes the network faster","You do not need to worry about choosing the right cable type","It makes the cable cheaper","It only works on old devices","You do not need to worry about choosing the right cable type"
"What does 'OSI' stand for?","Open Systems Interconnection","Operating System Interface","Open Software Initiative","Organization for Standardization","Open Systems Interconnection"
"Who created the OSI model in 1984?","ISO (International Organization for Standardization)","DARPA","Microsoft","Apple","ISO (International Organization for Standardization)"
"How many layers does the OSI model have?","4","5","7","8","7"
"What is the purpose of the OSI model?","To describe a specific product","To standardize network communication and support interoperability","To design cables","To define network prices","To standardize network communication and support interoperability"
"What is 'Encapsulation'?","Data flowing UP the model, removing information","Data flowing DOWN the model, adding information","The process of cabling a network","The process of filtering traffic","Data flowing DOWN the model, adding information"
"What is 'Decapsulation'?","Data flowing UP the model, removing information","Data flowing DOWN the model, adding information","The process of installing software","A type of network attack","Data flowing UP the model, removing information"
"Which OSI layer is 'closest to the end user' and interacts with web browsers?","Layer 1 - Physical","Layer 4 - Transport","Layer 7 - Application","Layer 3 - Network","Layer 7 - Application"
"HTTP and HTTPS are protocols at which OSI layer?","Layer 7 - Application","Layer 5 - Session","Layer 4 - Transport","Layer 2 - Data Link","Layer 7 - Application"
"Which OSI layer 'translates between application and network formats' and handles encryption?","Layer 7 - Application","Layer 6 - Presentation","Layer 5 - Session","Layer 4 - Transport","Layer 6 - Presentation"
"Which OSI layer 'controls dialogues (sessions)' and 'establishes, manages, and terminates connections'?","Layer 7 - Application","Layer 6 - Presentation","Layer 5 - Session","Layer 4 - Transport","Layer 5 - Session"
"Which OSI layer 'segments and reassembles data' and provides 'host-to-host communication'?","Layer 7 - Application","Layer 6 - Presentation","Layer 5 - Session","Layer 4 - Transport","Layer 4 - Transport"
"Which OSI layer 'provides logical addressing (IP addresses)' and 'path selection' between networks?","Layer 1 - Physical","Layer 2 - Data Link","Layer 3 - Network","Layer 4 - Transport","Layer 3 - Network"
"Routers operate at which OSI layer?","Layer 1 - Physical","Layer 2 - Data Link","Layer 3 - Network","Layer 4 - Transport","Layer 3 - Network"
"Which OSI layer provides 'node-to-node connectivity' and uses 'Layer 2 addressing'?","Layer 1 - Physical","Layer 2 - Data Link","Layer 3 - Network","Layer 4 - Transport","Layer 2 - Data Link"
"Switches operate at which OSI layer?","Layer 1 - Physical","Layer 2 - Data Link","Layer 3 - Network","Layer 4 - Transport","Layer 2 - Data Link"
"Which OSI layer 'defines physical characteristics' like voltage, connectors, and cables?","Layer 1 - Physical","Layer 2 - Data Link","Layer 3 - Network","Layer 7 - Application","Layer 1 - Physical"
"At which OSI layer are 'digital bits... converted into electrical... or radio... signals'?","Layer 1 - Physical","Layer 2 - Data Link","Layer 3 - Network","Layer 7 - Application","Layer 1 - Physical"
"What is the PDU (Protocol Data Unit) at Layer 4 (Transport)?","Data","Segment","Packet","Frame","Segment"
"What is the PDU (Protocol Data Unit) at Layer 3 (Network)?","Data","Segment","Packet","Frame","Packet"
"What is the PDU (Protocol Data Unit) at Layer 2 (Data Link)?","Data","Segment","Packet","Frame","Frame"
"What is the PDU (Protocol Data Unit) at Layer 1 (Physical)?","Data","Segment","Packet","Bit","Bit"
"What does 'TCP/IP' stand for?","Transport Control Protocol / Internet Protocol","Transmission Control Protocol / Internet Protocol","Telephony Control Protocol / Inter-network Protocol","Transmission Connection Protocol / Internet Path","Transmission Control Protocol / Internet Protocol"
"Who developed the TCP/IP model?","ISO","Microsoft","Apple","US Department of Defense (DARPA)","US Department of Defense (DARPA)"
"Which model is 'actually in use in modern networks'?","The OSI Model","The TCP/IP Model","The Bus Model","The Star Model","The TCP/IP Model"
"How many layers does the TCP/IP model described in the lecture have?","7","6","5","4","4"
"Which layer in the TCP/IP model includes protocols like HTTP, FTP, and SMTP?","Application","Transport","Internet","Link","Application"
"Which layer in the TCP/IP model 'is responsible for maintaining end-to-end communications' using TCP or UDP?","Application","Transport","Internet","Link","Transport"
"Which layer in the TCP/IP model 'deals with packets' and uses IP and ICMP?","Application","Transport","Internet","Link","Internet"
"Which layer in the TCP/IP model 'consists of protocols that operate only on a link', like Ethernet and ARP?","Application","Transport","Internet","Link","Link"
"In the 'OSI versus TCP/IP Model' diagram, the OSI Application, Presentation, and Session layers map to which single TCP/IP layer?","Application","Transport","Internet","Link","Application"
"In the 'OSI versus TCP/IP Model' diagram, the OSI Network layer maps to which TCP/IP layer?","Application","Transport","Internet","Link","Internet"
"In the 'OSI versus TCP/IP Model' diagram, the OSI Data Link and Physical layers map to which single TCP/IP layer?","Application","Transport","Internet","Link","Link"
"Which of these is NOT an example of a shared resource mentioned in 'What is a Computer Network?'","Hard drives","Printers","CPUs","Keyboards","Keyboards"
"What is an example of a network use for a software firm?","Allowing clients to log in over the network and run a program","Selling books online","Telemedicine","e-Banking","Allowing clients to log in over the network and run a program"
"What is the term for 'remote patient monitoring'?","e-Banking","E-commerce","Videoconferencing","Telemedicine","Telemedicine"
"What network type would cover a 100-meter span, such as a single building?","LAN","MAN","WAN","PAN","LAN"
"What network type would cover a 10-kilometer span, such as a city?","LAN","MAN","WAN","PAN","MAN"
"What network type would cover a 1,000-kilometer span, such as a continent?","LAN","MAN","WAN","PAN","WAN"
"What is one of the three major goals for a network designer when establishing topology?","Use the most wire possible","Provide the maximum possible reliability","Make the network as complex as possible","Avoid sharing resources","Provide the maximum possible reliability"
"In a Bus topology, what is the common cable known as?","The hub","The backbone or bus","The ring","The mesh","The backbone or bus"
"In a Bus topology, what is the purpose of T-Terminators?","To prevent signal reflections","To connect devices to the bus","To speed up the network","To act as a server","To prevent signal reflections"
"What is a primary disadvantage of the Bus topology?","It is too expensive","It is difficult to install","If the bus goes down, the whole network shuts down","It has no data collisions","If the bus goes down, the whole network shuts down"
"What is an advantage of the Ring topology?","It is the most secure","The whole network fails if one node fails","No data collisions","It is the fastest topology","No data collisions"
"What is a disadvantage of the Ring topology?","It's hard to add new devices","It's expensive","Slower transmission as data passes through other devices","It has many collisions","Slower transmission as data passes through other devices"
"In a Star topology, where does all traffic pass through?","The backbone","Each individual node","A central point (hub or switch)","The T-Terminator","A central point (hub or switch)"
"What is an advantage of a Star topology?","It is the cheapest to cable","The central point cannot fail","Easy to modify and add new nodes","It is an unstructured wiring scheme","Easy to modify and add new nodes"
"What is a 'Full mesh' topology?","Each node is connected to a central hub","Each node is directly connected to every other node","Nodes are connected in a circle","Nodes are connected to a single backbone","Each node is directly connected to every other node"
"What is a 'Partial mesh' topology?","Nodes are only connected to the nodes they interact with most","Each node is connected to every other node","Nodes are connected in a circle","Each node is connected to a central hub","Nodes are only connected to the nodes they interact with most"
"What is a 'hybrid topology'?","A network with no connections","A combination of topologies","A network with only two devices","A full mesh network","A combination of topologies"
"Which type of 'casting' sends data to a single, specific recipient?","Unicast","Broadcast","Multicast","Anycast","Unicast"
"Which type of 'casting' sends data to all devices on a network?","Unicast","Broadcast","Multicast","Anycast","Broadcast"
"Which type of 'casting' sends data to a specific group of devices?","Unicast","Broadcast","Multicast","Anycast","Multicast"
"What is 'Limited Broadcast'?","Sending data to all hosts in the *same* network","Sending data to all hosts in a *different* network","Sending data to one host","Sending data to a group of hosts","Sending data to all hosts in the *same* network"
"What is 'Directed Broadcast'?","Sending data to all hosts in the *same* network","A host in one network sending data to all hosts in *another* network","Sending data to one host","Sending data to a group of hosts","A host in one network sending data to all hosts in *another* network"
"What is 'Simplex' communication?","One-way communication","Two-way, but not at the same time","Two-way, simultaneously","One-to-many communication","One-way communication"
"A walkie-talkie is an example of which transmission mode?","Simplex","Half-Duplex","Full-Duplex","Broadcast","Half-Duplex"
"A mobile phone call is an example of which transmission mode?","Simplex","Half-Duplex","Full-Duplex","Unicast","Full-Duplex"
"What is a 'node' in a computer network?","A type of cable","A connection point that can send, receive, or forward transmissions","A network error","A security protocol","A connection point that can send, receive, or forward transmissions"
"What is a 'Client' device?","A device that provides services","A device that requests and accesses services","A device that monitors traffic","A device that connects two networks","A device that requests and accesses services"
"What is a 'Server' device?","A device that provides functions or services for clients","A device that only requests services","The end-user's computer","A network topology","A device that provides functions or services for clients"
"What is the key takeaway from the 'AirDrop' example (Lec 2, Page 14)?","AirDrop is slow","Only Apple devices can be servers","The same device can be a client and a server","A server is always a server","The same device can be a client and a server"
"What is the main function of a 'Switch'?","To connect different LANs","To connect hosts *within* the same LAN","To filter traffic based on rules","To connect to the internet","To connect hosts *within* the same LAN"
"What is the main function of a 'Router'?","To connect hosts *within* the same LAN","To provide connectivity *between* LANs","To connect only two PCs","To act as a client","To provide connectivity *between* LANs"
"What is the main function of a 'Firewall'?","To connect LANs","To connect hosts in a LAN","To monitor and control network traffic based on rules","To provide services to clients","To monitor and control network traffic based on rules"
"What is a 'Host-based firewall'?","A hardware device","A software application on a host machine (like a PC)","A type of router","A type of switch","A software application on a host machine (like a PC)"
"What type of cable consists of 'pairs of insulated copper wires twisted together'?","Twisted Pair","Coaxial","Fiber Optic","STP","Twisted Pair"
"What are the two sub-types of Twisted Pair cable shown?","UTP and STP","Single mode and Multi Mode","Straight and Crossover","Bus and Star","UTP and STP"
"What are the two sub-types of Fiber Optic cable shown?","UTP and STP","Single mode and Multi Mode","Straight and Crossover","Bus and Star","Single mode and Multi Mode"
"What is a stated advantage of twisted pair cable?","It is the fastest","It is immune to noise","It is cheaper and flexible","It carries light signals","It is cheaper and flexible"
"What type of cable has a 'center conductor surrounded by multiple protective shields'?","Twisted Pair","Coaxial","Fiber Optic","UTP","Coaxial"
"What is an advantage of Coaxial cable over Twisted Pair?","It is more flexible","It is cheaper","It can transmit data much faster","It is lighter","It can transmit data much faster"
"What type of cable consists of 'hair like strands of glass'?","Twisted Pair","Coaxial","Fiber Optic","STP","Fiber Optic"
"In a fiber optic system, what converts 'electrical signals into light waves'?","The Transmitter","The Receiver","The Cable","The Connector","The Transmitter"
"In a fiber optic system, what converts 'light signals... into electrical signals'?","The Transmitter","The Receiver","The Cable","The Connector","The Receiver"
"What is a key advantage of Fiber Optic cable?","It is the cheapest","It is easy to install","Provides high bandwidth... and super fast transmission","It uses copper","Provides high bandwidth... and super fast transmission"
"What connector is typically used with UTP cables?","RJ-11","RJ-45","BNC Connector","T-Terminator","RJ-45"
"What wiring standard did the TIA/EIA release in 1991?","ISO/IEC-11801","TIA/EIA 568","10BASE-T","Auto-MDIX","TIA/EIA 568"
"What is the color of Pin 1 in the T568A wiring standard?","White and Orange","Orange","White and Green","Blue","White and Green"
"What is the color of Pin 1 in the T568B wiring standard?","White and Orange","Orange","White and Green","Blue","White and Orange"
"What is the purpose of twisting the wires in a UTP cable?","To make it look nice","To make it shorter","To help protect against electromagnetic interference (EMI)","To make it rigid","To help protect against electromagnetic interference (EMI)"
"How many wires (conductors) are in a standard Ethernet UTP cable?","2","4","6","8","8"
"For 10/100BASE-TX Ethernet, which pins are used for Transmit (TX)?","1 and 2","3 and 6","4 and 5","7 and 8","1 and 2"
"For 10/100BASE-TX Ethernet, which pins are used for Receive (RX)?","1 and 2","3 and 6","4 and 5","7 and 8","3 and 6"
"What type of cable connects devices at *different* layers, like a PC to a Switch?","Straight-Through","Crossover","Coaxial","Fiber Optic","Straight-Through"
"How is a Straight-Through cable wired?","T568A on one end, T568B on the other","The same standard (e.g., T568B) on both ends","The wires are random","With only 2 wires","The same standard (e.g., T568B) on both ends"
"What type of cable connects devices at the *same* layer, like a PC to a PC?","Straight-Through","Crossover","Coaxial","Fiber Optic","Crossover"
"How is a Crossover cable wired?","T568A on one end, T568B on the other","The same standard (e.g., T568B) on both ends","The wires are random","With only 2 wires","T568A on one end, T568B on the other"
"What does 'Auto-MDIX' do?","It encrypts data","It speeds up the cable","It automatically detects the cable type (straight/crossover) and adjusts","It blocks traffic","It automatically detects the cable type (straight/crossover) and adjusts"
"When was the OSI model created, and by whom?","1984, ISO","1991, TIA/EIA","1970, DARPA","1995, Microsoft","1984, ISO"
"How many layers are in the OSI model?","4","5","7","8","7"
"What is the top layer (Layer 7) of the OSI model?","Physical","Data Link","Network","Application","Application"
"What is the bottom layer (Layer 1) of the OSI model?","Physical","Data Link","Network","Application","Physical"
"What is the process of 'adding' information as data flows 'down' the OSI layers called?","Decapsulation","Encapsulation","Transmission","Topology","Encapsulation"
"What is the process of 'removing' information as data flows 'up' the OSI layers called?","Decapsulation","Encapsulation","Transmission","Topology","Decapsulation"
"Which OSI layer interacts with software applications like web browsers?","Layer 7 - Application","Layer 6 - Presentation","Layer 5 - Session","Layer 4 - Transport","Layer 7 - Application"
"Which OSI layer handles data 'translation', 'encryption', and 'decryption'?","Layer 7 - Application","Layer 6 - Presentation","Layer 5 - Session","Layer 4 - Transport","Layer 6 - Presentation"
"Which OSI layer 'establishes, manages, and terminates connections' (sessions)?","Layer 7 - Application","Layer 6 - Presentation","Layer 5 - Session","Layer 4 - Transport","Layer 5 - Session"
"Which OSI layer 'segments' data and provides 'host-to-host' communication?","Layer 7 - Application","Layer 6 - Presentation","Layer 5 - Session","Layer 4 - Transport","Layer 4 - Transport"
"Which OSI layer provides 'logical addressing (IP addresses)' and 'path selection'?","Layer 1 - Physical","Layer 2 - Data Link","Layer 3 - Network","Layer 4 - Transport","Layer 3 - Network"
"Routers operate at which OSI layer?","Layer 1","Layer 2","Layer 3","Layer 4","Layer 3"
"Which OSI layer provides 'node-to-node' connectivity and uses Layer 2 addressing?","Layer 1 - Physical","Layer 2 - Data Link","Layer 3 - Network","Layer 4 - Transport","Layer 2 - Data Link"
"Switches operate at which OSI layer?","Layer 1","Layer 2","Layer 3","Layer 4","Layer 2"
"Which OSI layer defines 'physical characteristics' like voltage, connectors, and cables?","Layer 1 - Physical","Layer 2 - Data Link","Layer 3 - Network","Layer 7 - Application","Layer 1 - Physical"
"What is the Protocol Data Unit (PDU) at the Transport Layer (Layer 4)?","Data","Segment","Packet","Frame","Segment"
"What is the Protocol Data Unit (PDU) at the Network Layer (Layer 3)?","Data","Segment","Packet","Frame","Packet"
"What is the Protocol Data Unit (PDU) at the Data Link Layer (Layer 2)?","Data","Segment","Packet","Frame","Frame"
"What is the Protocol Data Unit (PDU) at the Physical Layer (Layer 1)?","Data","Segment","Bit","Frame","Bit"
"Who developed the TCP/IP model?","ISO","Microsoft","US Department of Defense (DARPA)","TIA/EIA","US Department of Defense (DARPA)"
"Which model is 'actually in use in modern networks'?","OSI Model","TCP/IP Model","Bus Model","Ring Model","TCP/IP Model"
"How many layers does the TCP/IP model have (as shown in the lecture)?","4","5","6","7","4"
"Which TCP/IP layer includes protocols like HTTP, FTP, and SMTP?","Application","Transport","Internet","Link","Application"
"Which TCP/IP layer includes protocols like TCP and UDP?","Application","Transport","Internet","Link","Transport"
"Which TCP/IP layer includes protocols like IP and ICMP?","Application","Transport","Internet","Link","Internet"
"Which TCP/IP layer includes protocols like Ethernet and ARP?","Application","Transport","Internet","Link","Link"
"The OSI Application, Presentation, and Session layers map to which single TCP/IP layer?","Application","Transport","Internet","Link","Application"
"The OSI Network layer maps to which TCP/IP layer?","Application","Transport","Internet","Link","Internet"
"The OSI Data Link and Physical layers map to which TCP/IP layer?","Application","Transport","Internet","Link","Link"